# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,type,value
ADV_SCROLL_POINTER,0x2D19,32
const_no_wall_target,0x204C,(LF_SHORT) -1
const_AI_allied_search,0x267F,2
eSpellEffectDispelFirewall_2,0x1F15,62
eSpellEffectDispelFirewall_1,0x1F15,66
eSpellEffectDispelFirewall_3,0x1F15,63
const_battle_dwarf_generator,0x1C8D,38
eArtifactCrestOfValor,0x1B5A,50
const_basilisk_generator,0x1C8D,33
const_champion_generator,0x1C8D,42
ePriSkillPower,0x2FBC,2
TERRAIN_WILLOW_TREE,0x2D17,159
eCreatureSerpentFly,0x1BAC,104
gargoyle_generator_sound,0x2D1D,19
eHeroDaremyth,0x1D96,43
eSpellEffectDispel,0x1F15,41
ARTIFACT_MERCHANTS_ID,0x1C8D,17
const_wraith_generator,0x1C8D,39
const_house_2,0x1C8D,27
kNumEncodingMethods,0x1772,4
eSpellBerserk,0x1B61,59
const_dwarf_generator,0x1C8D,31
eArtifactBowstringOfTheUnicornsMane,0x1B5A,61
fountain_of_youth_sound,0x2D1D,13
eHeroMalekith,0x1D96,90
REFUGEE_CAMP,0x2D17,78
RS_SET_AS_HOST,0x2CCD,1015
eSpellEarthquake,0x1B61,14
eSecSkillNavigation,0x1AD8,5
RES_GOOD_MORALE,0x1B7A,14
DICT2,0x47C6,4
eSpellEffectBerserk,0x1F15,35
LibraryInfo,0x2D31,6
eMasteryBasic,0x1A78,1
const_first_artifact_slot,0x1EA0,0
eCreatureEarthElemental,0x1BAC,113
eSpellToughSkin,0x1B61,46
const_centaur_generator,0x1C8D,30
const_familiar_generator,0x1C8D,37
eSpellEffectCurse,0x1F15,40
ADV_MULTI_TURN_OFFSET,0x2D19,6
eArtifactRingOfConjuring,0x1B5A,77
eHeroGeneralKendal,0x1D96,129
eSpellEffectMuckAndMire,0x1F15,19
DOCK_WITH_BOAT_ID,0x1C8D,20
eSpellEffectAnimateDead,0x1F15,4
DWELLING_0_UPG_ID,0x1C8D,37
DWELLING_3_UPG_ID,0x1C8D,40
DWELLING_4_UPG_ID,0x1C8D,41
DWELLING_1_UPG_ID,0x1C8D,38
DWELLING_5_UPG_ID,0x1C8D,42
DWELLING_6_UPG_ID,0x1C8D,43
DWELLING_2_UPG_ID,0x1C8D,39
const_briar_treefolk_generator,0x1C8D,41
modeReadWrite,0x10C2,0
faError,0x10BE,(LF_SHORT) -1
eCreatureBoneDragon,0x1BAC,68
const_skeleton_warrior_generator,0x1C8D,37
eSecSkillSchoolOfFireMagic,0x1AD8,14
eArtifactSphereOfPermanence,0x1B5A,92
eSpellEffectMagicDrain,0x1F15,77
const_imp_horde,0x1C8D,18
RType_spriteframe,0x1774,72
eCreatureGoldDragon,0x1BAC,27
RS_CLICK,0x2CCD,1043
const_AI_search,0x267F,4
RES_MANA,0x1B7A,34
ADV_TOWN_INFO_POINTER,0x2D19,3
denorm_absent,0x1575,0
RES_EXPERIENCE,0x1B7A,17
TempleInfo,0x2D31,23
const_ogre_generator,0x1C8D,33
eSpellEffectForgetfulness,0x1F15,42
cs_postwalk,0x4962,21
eHeroAlagar,0x1D96,18
eHeroJaegar,0x1D96,89
eHeroStyg,0x1D96,125
const_remote_action,0x2DC6,2
RS_PLAYER_DROPPED,0x2CCD,1014
const_greater_basilisk_generator,0x1C8D,40
const_glyphs_of_fear,0x1C8D,22
thieves_guild_sound,0x2D1D,49
kNumRiverTypes,0x3571,5
eArtifactInexhaustableCartOfOre,0x1B5A,112
eSecSkillNone,0x1AD8,(LF_SHORT) -1
eCreatureHeavyCrossbowman,0x1BAC,3
SHIPYARD,0x2D17,87
eArtifactStatesmansMedal,0x1B5A,66
BuoyInfo,0x2D31,0
const_briar_treefolk_horde,0x1C8D,25
basilisk_generator_sound,0x2D1D,33
eSpellEffectDeathRipple,0x1F15,8
MAGE_GUILD5_ID,0x1C8D,4
MAGE_GUILD4_ID,0x1C8D,3
MAGE_GUILD3_ID,0x1C8D,2
MAGE_GUILD2_ID,0x1C8D,1
RALLY_FLAG,0x2D17,64
RES_HERO,0x1B7A,18
eTerrainMagicPlains,0x1C1A,13
RType_pointer,0x1774,70
kNumTownTypes,0x1AB5,8
dragonfly_bank_sound,0x2D1D,23
const_dwarf_horde,0x1C8D,18
RS_ERASE_OBJECT,0x2CCD,1058
WATERING_HOLE,0x2D17,110
RS_SET_FILTER,0x2CCD,1032
const_first_terrain_object,0x2D17,114
RallyFlagInfo,0x2D31,17
RS_GAME_TRANSMIT_MAIN,0x2CCD,1001
RS_HERO_LEVEL_UPDATE,0x2CCD,1011
const_pikeman_generator,0x1C8D,30
eRiverLava,0x3571,4
const_gnoll_marauder_generator,0x1C8D,37
TAVERN_UPG_ID,0x1C8D,22
eRoadGravel,0x356F,2
RANDOM_ARTIFACT_1,0x2D17,66
RType_bitmap24,0x1774,17
eArtifactDeadMansBoots,0x1B5A,56
const_free_artifact,0x2DAB,0
cs_death,0x4962,5
round_toward_zero,0x1578,0
const_single_horned_demon_generator,0x1C8D,33
TERRAIN_PINE_TREE,0x2D17,137
eSpellFireShield,0x1B61,29
kNumAlignedCreatureTypes,0x1BAC,112
RESOURCE,0x2D17,79
eCreatureHarpyHag,0x1BAC,73
magic_plains_sound,0x2D1D,25
eCreatureWaterElemental,0x1BAC,115
const_house_3,0x1C8D,28
TRAINING_GROUNDS,0x2D17,100
RS_COMBAT_INIT,0x2CCD,1005
RS_COMBAT_MAIN,0x2CCD,1006
eSpellParalyze,0x1B61,74
const_treasury,0x1C8D,22
CODES,0x479D,6
CAMPFIRE,0x2D17,12
eCreatureBronzeGorgon,0x1BAC,103
eMasteryExpert,0x1A78,3
const_imp_generator,0x1C8D,30
eSpellEffectTailWind,0x1F15,31
const_initialization_action,0x2DC6,0
const_pegasus_generator,0x1C8D,33
_ALIGN_SHIFT,0x13C4,3
eSpellEffectBlind,0x1F15,6
TAVERN,0x2D17,95
DICT3,0x47C6,3
eSpellEffectSacrifice_Resurrect,0x1F15,52
eCreaturePitFoe,0x1BAC,51
eCreatureDiamondGolem,0x1BAC,117
eSpellEffectSlayer,0x1F15,28
MermaidInfo,0x2D31,16
WATER_WHEEL,0x2D17,109
eCreatureApprenticeGremlin,0x1BAC,28
eArtifactDragonScaleArmor,0x1B5A,40
eSpellEffectPrayer,0x1F15,0
FLOTSAM,0x2D17,29
faArchive,0x10BE,32
eArtifactMysticOrbOfMana,0x1B5A,75
RS_PREV_SCREEN,0x2CCD,1034
RS_NEW_PLAYER,0x2CCD,1040
eArtifactSwordOfJudgement,0x1B5A,35
eClassPagan,0x24E4,6
eArtifactEverpouringVialOfMercury,0x1B5A,111
ADV_SCROLL_WEST,0x2D19,38
finish_started,0x54FF,2
eSecSkillLeadership,0x1AD8,6
ADV_DIMENSION_DOOR_POINTER,0x2D19,41
ADV_HERO_INFO_POINTER,0x2D19,2
eCreatureAncientBehemoth,0x1BAC,97
eRaceMinotaur,0x3DF3,10
SELECT_ARMY_INFO,0x40FD,5
eArtifactSlotLeftHand,0x1EA0,4
const_royal_griffin_horde,0x1C8D,19
const_pit_fiend_generator,0x1C8D,34
garrison_sound,0x2D1D,41
RS_HEADER_CONFIRM,0x2CCD,1042
eHeroClova,0x1D96,25
eHeroShiva,0x1D96,99
eHeroXarfax,0x1D96,63
shipyard_sound,0x2D1D,24
eArtifactPendantOfDispassion,0x1B5A,100
eEncodeAdvObjRLE,0x1772,3
eSecSkillWisdom,0x1AD8,7
const_order_of_pain,0x1C8D,23
cs_wince,0x4962,3
WITCH_HUT,0x2D17,113
eSpellMisfortune,0x1B61,52
eCreatureGrandElf,0x1BAC,19
eSpellEffectAirShield,0x1F15,2
MP_TCP,0x2BFC,2
eSpellSummonAirElemental,0x1B61,69
eArtifactBootsOfSpeed,0x1B5A,98
const_shipyard,0x1C8D,6
eSpellEffectQuicksand,0x1F15,55
OASIS,0x2D17,56
const_troglodyte_horde,0x1C8D,18
const_watchtower,0x1C8D,21
eSpellEffectLightning_Dust,0x1F15,49
eRiverIcy,0x3571,2
PYRAMID,0x2D17,63
eArtifactHelmOfHeavenlyEnlightenment,0x1B5A,36
RType_font,0x1774,80
lith_two_way_sound,0x2D1D,31
eCreatureHobgoblinWolfRider,0x1BAC,87
eRaceGenie,0x3DF3,4
refugee_camp_sound,0x2D1D,27
eArtifactBootsOfPolarity,0x1B5A,59
RS_REQUEST_HERO_FACE_REPLY,0x2CCD,1036
TRADING_POST,0x2D17,99
eCreatureHalberdier,0x1BAC,1
RES_BUILDING_TT_2,0x1B7A,24
const_wight_generator,0x1C8D,32
eSpellDisease,0x1B61,73
eSpellAirShield,0x1B61,28
const_hydra_generator,0x1C8D,36
const_citadel,0x1C8D,8
eArtifactSandalsOfTheSaint,0x1B5A,32
eSpellFortune,0x1B61,51
eCreatureHobgoblin,0x1BAC,85
eArtifactDragonScaleShield,0x1B5A,39
eArtifactRingOfVitality,0x1B5A,94
cs_range_r,0x4962,15
cs_range_dr,0x4962,16
cs_range_ur,0x4962,14
EXTRA_0_ID,0x1C8D,21
EXTRA_2_ID,0x1C8D,23
EXTRA_1_ID,0x1C8D,22
EXTRA_4_ID,0x1C8D,28
EXTRA_3_ID,0x1C8D,27
EXTRA_5_ID,0x1C8D,29
eCreatureTroglodyte,0x1BAC,70
eArtifactCapeOfConjuring,0x1B5A,78
eCreatureDevil,0x1BAC,54
const_master_gremlin_generator,0x1C8D,37
eCreatureWraith,0x1BAC,61
eCreatureGenie,0x1BAC,36
eCreatureThunderbird,0x1BAC,93
eCreatureCaliph,0x1BAC,37
eSpellEffectDisruptiveRay_Ray,0x1F15,13
const_wyvern_monarch_generator,0x1C8D,42
TERRAIN_BRUSH,0x2D17,114
modeRead,0x10C2,0
RS_ALL_READY_TO_PLAY,0x2CCD,1013
eArtifactHellstormHelmet,0x1B5A,23
eSecSkillSchoolOfWaterMagic,0x1AD8,16
SELECT_MOVE,0x40FD,1
eSpellEffectFirestorm,0x1F15,12
FOUNTAIN_OF_YOUTH,0x2D17,31
eSpellBlind,0x1B61,62
const_gargoyle_horde,0x1C8D,18
RS_CLAIM_MINE,0x2CCD,1052
red_dragon_generator_sound,0x2D1D,11
const_lich_generator,0x1C8D,34
MARKET_OF_TIME,0x2D17,50
eHeroCalid,0x1D96,60
eHeroVokial,0x1D96,65
eHeroSanya,0x1D96,13
eHeroAlkin,0x1D96,116
eHeroZubin,0x1D96,108
eHeroMarius,0x1D96,50
eHeroAxsis,0x1D96,58
eHeroRosic,0x1D96,121
eHeroAeris,0x1D96,31
eHeroMerist,0x1D96,124
eHeroTyris,0x1D96,7
ADV_SWORD_POINTER,0x2D19,5
lith_one_way_sound,0x2D1D,30
whirlpool_sound,0x2D1D,67
eCreatureArchDevil,0x1BAC,55
eSpellAnimateDead,0x1B61,39
campfire_sound,0x2D1D,6
MERC_CAMP,0x2D17,51
eSchoolFire,0x1EEC,2
eSecSkillLuck,0x1AD8,9
MP_HOTSEAT,0x2BFC,3
eSchoolAir,0x1EEC,1
eArtifactHolyGrail,0x1B5A,2
kNumHeroBios,0x1D96,130
eCreatureCopperGorgon,0x1BAC,102
eSpellEffectToughSkin,0x1F15,54
const_light_crossbowman_generator,0x1C8D,31
eArtifactTomeOfWaterMagic,0x1B5A,88
eSpellSummonWaterElemental,0x1B61,68
eSpellProtectionFromEarth,0x1B61,33
RS_DESTROY_PLAYER,0x2CCD,1079
RS_GAME_TRANSMIT_END,0x2CCD,1003
RS_GAME_TRANSMIT_ACK,0x2CCD,1080
RS_GAME_TRANSMIT_REQ,0x2CCD,1002
const_AI_enemy_search,0x267F,3
block_done,0x54FF,1
eSpellEffectLightning_Bolt,0x1F15,1
eSpellDimensionWalk,0x1B61,8
const_normal_action,0x2DC6,1
eSpellResurrection,0x1B61,38
eSpellEffectFrenzy,0x1F15,17
training_grounds_sound,0x2D1D,23
TERRAIN_LAVA_FLOW,0x2D17,127
const_slow,0x5A26,4
eRaceLich,0x3DF3,8
RS_NEW_HOST,0x2CCD,1038
const_no_resource,0x1B7A,(LF_SHORT) -1
const_cyclops_lord_generator,0x1C8D,42
eCreatureRoyalGriffin,0x1BAC,5
RES_BUILDING_TT_3,0x1B7A,25
eArtifactRecantersCloak,0x1B5A,83
eCreatureGreaterTitan,0x1BAC,41
STABLES,0x2D17,94
sepulcher_sound,0x2D1D,8
SCHOLAR,0x2D17,81
eSpellEffectDispelForcefield_3,0x1F15,61
eSpellEffectDispelForcefield_2,0x1F15,60
mystical_garden_sound,0x2D1D,57
WARRIOR_TOMB,0x2D17,108
hs_walk_e,0x3675,7
TEMPLE,0x2D17,96
garden_of_revelation_sound,0x2D1D,54
const_brimstone_stormclouds,0x1C8D,21
const_skeleton_transformer,0x1C8D,22
eArtifactBucklerOfTheGnollKing,0x1B5A,15
stables_sound,0x2D1D,21
SELECT_ATTACK,0x40FD,7
denorm_indeterminate,0x1575,(LF_SHORT) -1
eCreatureWight,0x1BAC,60
eCreatureLich,0x1BAC,64
eArtifactRingOfLife,0x1B5A,95
RS_HIDE_HERO,0x2CCD,1062
eCreatureNagaGuardian,0x1BAC,39
RES_SECONDARY_SKILL,0x1B7A,20
eSecSkillIntelligence,0x1AD8,24
eSecSkillSchoolOfEarthMagic,0x1AD8,17
ADV_EVENT_POINTER,0x2D19,9
eSpellSummonBoat,0x1B61,0
imp_generator_sound,0x2D1D,14
eClassWarlock,0x24E4,11
const_gnoll_horde,0x1C8D,18
eSpellEffectFireShield,0x1F15,11
CASTLE_CITADEL_ID,0x1C8D,8
eSpellEffectSacrifice_Slay,0x1F15,51
DWELLING_5_ID,0x1C8D,35
DWELLING_6_ID,0x1C8D,36
DWELLING_3_ID,0x1C8D,33
DWELLING_4_ID,0x1C8D,34
DWELLING_1_ID,0x1C8D,31
eCreatureDualHornedDemon,0x1BAC,49
DWELLING_2_ID,0x1C8D,32
DWELLING_0_ID,0x1C8D,30
gog_generator_sound,0x2D1D,65
elf_generator_sound,0x2D1D,52
orc_generator_sound,0x2D1D,34
roc_generator_sound,0x2D1D,4
const_resource_silo,0x1C8D,15
invalid_sound,0x2D1D,(LF_SHORT) -1
GardenOfRevelationInfo,0x2D31,4
eSecSkillSiegeBallistics,0x1AD8,10
const_fire_dragonfly_generator,0x1C8D,39
eSecSkillScouting,0x1AD8,3
kNumArtifactSlots,0x1EA0,18
eHeroIngham,0x1D96,12
eHeroCalh,0x1D96,53
eSpellEffectMagicChannel_Suck,0x1F15,75
eHeroRashka,0x1D96,57
pillar_of_fire_sound,0x2D1D,14
buoy_sound,0x2D1D,5
Shrine1Info,0x2D31,19
Shrine3Info,0x2D31,21
Shrine2Info,0x2D31,20
const_halberdier_generator,0x1C8D,37
RANDOM_TOWN,0x2D17,77
DRAGON_CITY,0x2D17,25
const_attack_down,0x40FD,14
MP_MODEM,0x2BFC,5
HILL_FORT,0x2D17,35
const_griffin_horde,0x1C8D,18
RS_CLAIM_SHIPYARD,0x2CCD,1056
const_red_dragon_generator,0x1C8D,36
eArtifactTomeOfEarthMagic,0x1B5A,89
COVER_OF_DARKNESS,0x2D17,15
eCreatureSingleHornedDemon,0x1BAC,48
eSecSkillLearning,0x1AD8,21
WAR_MACHINE_FACTORY,0x2D17,106
eSpellBloodLust,0x1B61,43
eMasteryInvalid,0x1A78,(LF_SHORT) -1
cs_turn_lf,0x4962,9
griffin_bank_sound,0x2D1D,19
eSecSkillEagleEye,0x1AD8,11
PRISON,0x2D17,62
const_tree_price_count,0x2DCC,3
RType_null,0x1774,0
LIGHTHOUSE,0x2D17,42
const_skeleton_generator,0x1C8D,30
RS_TRADE_REQUEST,0x2CCD,1064
const_scholar_secondary_skill,0x2FBA,1
trading_post_sound,0x2D1D,26
eHeroBroghild,0x1D96,119
TREE_OF_KNOWLEDGE,0x2D17,102
eSpellEffectDecay,0x1F15,10
RES_BUILDING_TT_0,0x1B7A,22
eCreatureMasterGremlin,0x1BAC,29
const_greater_titan_generator,0x1C8D,43
e_pool_choice,0x2DB6,2
eSpellEffectFirewall_1,0x1F15,65
eSpellEffectFirewall_3,0x1F15,44
eSpellEffectFirewall_2,0x1F15,43
eArtifactLadybirdOfLuck,0x1B5A,48
const_king_of_terror,0x1C8D,26
HOLY_GRAIL_ID,0x1C8D,26
eSpellIdentify,0x1B61,2
const_mage_guild_1,0x1C8D,0
const_mage_guild_5,0x1C8D,4
const_mage_guild_4,0x1C8D,3
const_mage_guild_3,0x1C8D,2
const_mage_guild_2,0x1C8D,1
eTerrainRough,0x1C1A,5
RS_NEW_MAP_HEADER_INFO,0x2CCD,1028
kNumCreatureEffects,0x1B61,10
BLACK_MARKET,0x2D17,7
eArtifactPendantOfFreeWill,0x1B5A,105
eCreatureMonk,0x1BAC,8
RS_GAME_HEADER_INFO_END,0x2CCD,1025
star_axis_sound,0x2D1D,39
wood_mine_sound,0x2D1D,24
gold_mine_sound,0x2D1D,29
eSpellAntiMagic,0x1B61,34
eCreatureOrcChieftain,0x1BAC,89
eCreatureTreefolk,0x1BAC,22
RS_SCROLL,0x2CCD,1027
eClassAlchemist,0x24E4,4
eArtifactSlotNeck,0x1EA0,2
eArtifactHelmOfTheChaos,0x1B5A,21
cs_prewalk,0x4962,20
const_evil_eye_generator,0x1C8D,39
ADV_ARROW_POINTER,0x2D19,0
CloverFieldInfo,0x2D31,1
eArtifactHipsOfLegion,0x1B5A,119
CBT_ARROW_POINTER,0x40FD,6
RS_TELEPORT_HERO,0x2CCD,1051
const_recorded_action,0x2DC6,3
ORDER_OF_PAIN_ID,0x1C8D,23
lizardman_generator_sound,0x2D1D,1
eHeroDrakon,0x1D96,113
eHeroShakti,0x1D96,87
eArtifactInexhaustableCartOfLumber,0x1B5A,114
RS_MAP_HEADER_REQUEST,0x2CCD,1029
eArtifactHourglassOfTheEvilHour,0x1B5A,85
eCreatureBasilisk,0x1BAC,106
RS_GIVE_ME_STUFF,0x2CCD,1070
kNumHeroes,0x1D96,128
round_indeterminate,0x1578,(LF_SHORT) -1
eSpellEffectChainLightning_Bolt,0x1F15,37
ADV_BOAT_EVENT_POINTER,0x2D19,28
const_scholar_primary_skill,0x2FBA,0
eRewardExperience,0x7182,1
RS_PLAYER_DROP_UPDATE,0x2CCD,1017
eCreatureBriarTreefolk,0x1BAC,23
CR_OCTREENODIFF,0x555B,0
eSpellEffectDispelLandMine,0x1F15,59
eSecSkillFirstAid,0x1AD8,27
naga_bank_sound,0x2D1D,60
sulfur_mine_sound,0x2D1D,40
eHeroCuthbert,0x1D96,3
const_treefolk_horde,0x1C8D,24
RANDOM_MONSTER,0x2D17,71
IDOL_OF_FORTUNE,0x2D17,38
const_cyclops_generator,0x1C8D,35
eArtifactLegsOfLegion,0x1B5A,118
const_crusader_generator,0x1C8D,40
eCreatureNagaSentinel,0x1BAC,38
TERRAIN_LAVA_LAKE,0x2D17,128
const_beholder_generator,0x1C8D,32
faHiddenReadOnly,0x10BE,3
dragon_city_sound,0x2D1D,11
BADCODE,0x47E1,9
const_attack_up,0x40FD,13
RES_BUILDING_TT_1,0x1B7A,23
eSpellEffectProtectionFromWater,0x1F15,23
eArtifactDragonWingTabard,0x1B5A,42
SHRINE1,0x2D17,88
SHRINE2,0x2D17,89
SHRINE3,0x2D17,90
SIREN,0x2D17,92
faSystemReadOnly,0x10BE,5
kNumCreatureTypes,0x1BAC,118
DOCK_ID,0x1C8D,6
eArtifactScalesOfTheGreaterBasilisk,0x1B5A,27
eTerrainBeach,0x1C1A,12
RS_TOWN_UPDATE,0x2CCD,1044
eArtifactSpellScroll,0x1B5A,1
const_wood_elf_generator,0x1C8D,32
const_goblin_generator,0x1C8D,30
eArtifactCapeOfVelocity,0x1B5A,99
SIEGE_ATTACK_ID,0x1C8D,22
RES_SPELL,0x1B7A,9
eClassBarbarian,0x24E4,12
SELECT_FLY,0x40FD,2
eArtifactBootsOfLevitation,0x1B5A,90
WAGON,0x2D17,105
const_AI_treasure_search,0x267F,1
merc_camp_sound,0x2D1D,27
eTargetMainBuilding,0x204C,7
RS_SESSION_LOST,0x2CCD,1076
const_skeleton_warrior_horde,0x1C8D,19
eHeroTheodorus,0x1D96,44
RANDOM_MONSTER_4,0x2D17,75
RANDOM_MONSTER_5,0x2D17,162
RANDOM_MONSTER_2,0x2D17,73
RANDOM_MONSTER_3,0x2D17,74
RANDOM_MONSTER_6,0x2D17,163
RANDOM_MONSTER_7,0x2D17,164
RANDOM_MONSTER_1,0x2D17,72
const_carnivorous_plant,0x1C8D,26
eArtifactArmsOfLegion,0x1B5A,121
eTargetMidLowerWall,0x204C,4
kNumHeroClasses,0x24E4,16
eArtifactSkullHelmet,0x1B5A,20
eSpellEffectMirth,0x1F15,20
black_knight_generator_sound,0x2D1D,8
minotaur_generator_sound,0x2D1D,0
eTargetMidUpperWall,0x204C,2
eArtifactVampiresCowl,0x1B5A,55
eArtifactTorsoOfLegion,0x1B5A,120
DefenseTowerInfo,0x2D31,7
LEAN_TO,0x2D17,39
eSpellEffectRemoveObstacle,0x1F15,34
RS_CHAT_MSG,0x2CCD,1004
FAERIE_RING,0x2D17,28
const_goblin_wolf_rider_generator,0x1C8D,31
hill_fort_sound,0x2D1D,41
eCreatureCyclopsLord,0x1BAC,95
METHOD,0x47C6,0
MAGE_GUILD_ID,0x1C8D,0
RS_COMBAT_CONTROL,0x2CCD,1007
eArtifactShieldOfTheDwarvenLords,0x1B5A,13
eCreatureGoblinWolfRider,0x1BAC,86
eSpellEffectLandMineExplosion,0x1F15,57
const_zombie_generator,0x1C8D,31
LIT,0x47E1,6
LEN,0x47E1,1
zombie_generator_sound,0x2D1D,8
const_young_behemoth_generator,0x1C8D,36
SELECT_SPECIAL_ATTACK,0x40FD,3
eSpellSlayer,0x1B61,55
DISEASE_PENALTY,0x3569,2
eRaceTroglodyte,0x3DF3,12
HORDE_ID,0x1C8D,18
eSpellPrayer,0x1B61,48
eSecSkillDiplomacy,0x1AD8,4
const_sacrifice_info,0x2D31,28
MagicWellInfo,0x2D31,25
eRewardPrimarySkill,0x7182,6
RS_GIFT,0x2CCD,1074
RS_PING,0x2CCD,1072
RES_BUILDING_TT_6,0x1B7A,28
eArtifactEndlessPurseOfGold,0x1B5A,117
eHeroLordHaart,0x1D96,4
WATCHTOWER_ID,0x1C8D,21
eSpellFireblast,0x1B61,22
eHeroElleshar,0x1D96,23
TERRAIN_DEAD_VEGETATION,0x2D17,119
const_efreet_sultan_generator,0x1C8D,42
eArtifactDragonboneGreaves,0x1B5A,41
const_primitive_lizardman_generator,0x1C8D,31
eArtifactNone,0x1B5A,(LF_SHORT) -1
eSpellIceRay,0x1B61,16
RES_GOOD_LUCK,0x1B7A,11
const_manticore_generator,0x1C8D,35
TERRAIN_LOG,0x2D17,130
imp_bank_sound,0x2D1D,14
eArtifactEmblemOfCognizance,0x1B5A,65
eSpellWaterWalk,0x1B61,7
eSecSkillLogistics,0x1AD8,2
eCreatureEfreetSultan,0x1BAC,53
eArtifactSlotRightHand,0x1EA0,3
eSpellFrenzy,0x1B61,56
eArtifactSlotRightRing,0x1EA0,6
SELECT_TELEPORT,0x40FD,19
ALTAR_OF_SACRIFICE,0x2D17,2
const_library,0x1C8D,22
eArtifactHeadOfLegion,0x1B5A,122
earth_elemental_generator_sound,0x2D1D,51
faDirectory,0x10BE,16
max_environment_sounds,0x2D1D,70
water_elemental_generator_sound,0x2D1D,16
kNumCombatSpells,0x1B61,60
finish_done,0x54FF,3
eArtifactNecklaceOfOceanGuidance,0x1B5A,71
eSpellShield,0x1B61,27
eSpellFlight,0x1B61,6
RES_NEUTRAL_LUCK,0x1B7A,12
eSpellPoison,0x1B61,71
eArtifactEndlessSackOfGold,0x1B5A,115
const_eternal_effigy,0x1C8D,26
const_griffin_generator,0x1C8D,32
round_toward_infinity,0x1578,2
medusa_generator_sound,0x2D1D,59
eTargetLowerWall,0x204C,5
eHeroAlamar,0x1D96,88
eHeroKhem,0x1D96,39
eHeroSolmyr,0x1D96,45
eHeroOlema,0x1D96,59
eHeroDeemer,0x1D96,93
kNumTerrainTypes,0x1C1A,10
beholder_generator_sound,0x2D1D,7
eHeroDarkstorn,0x1D96,95
LENEXT,0x47E1,2
MP_SINGLE,0x2BFC,0
TERRAIN_RIVER_DELTA,0x2D17,143
eArtifactOrbOfSilt,0x1B5A,80
const_horse_stable,0x1C8D,21
eSpellEffectPrecision,0x1F15,25
const_pit_foe_generator,0x1C8D,41
eCreatureYoungBehemoth,0x1BAC,96
const_necromancy_amplifier,0x1C8D,21
eArtifactThunderHelmet,0x1B5A,24
eArtifactShieldOfTheDamned,0x1B5A,17
const_shroud_generator,0x1C8D,17
PowerSchoolInfo,0x2D31,11
MARKETPLACE_ID,0x1C8D,14
dwarf_bank_sound,0x2D1D,50
eArtifactBreastplateOfPetrifiedWood,0x1B5A,25
RS_GAME_TRANSMIT_INIT,0x2CCD,1000
eSpellFirstAdventureSpell,0x1B61,0
eArtifactSpellbindersHat,0x1B5A,124
eSecSkillSchoolOfAirMagic,0x1AD8,15
goblin_generator_sound,0x2D1D,56
const_medusa_queen_generator,0x1C8D,40
ADV_HIGHLIGHTED_POINTER,0x2D19,40
const_attack_southeast,0x40FD,9
const_attack_southwest,0x40FD,10
RES_PRIMARY_SKILL_POWER,0x1B7A,32
cs_attack_r,0x4962,12
const_attack_northeast,0x40FD,7
const_attack_northwest,0x40FD,12
RType_bitmap8,0x1774,16
const_cerberus_generator,0x1C8D,39
RS_GIFT_REQUEST,0x2CCD,1075
const_hobgoblin_generator,0x1C8D,37
eArtifactSlotSpellbook,0x1EA0,17
eArtifactSpeculum,0x1B5A,52
eRaceGoblin,0x3DF3,6
eRaceGnoll,0x3DF3,5
eSpellEffectMagicResistance,0x1F15,78
pegasus_generator_sound,0x2D1D,35
eSpellLightningBolt,0x1B61,17
gremlin_generator_sound,0x2D1D,18
SHIPWRECK,0x2D17,85
RES_BUILDING_TT_7,0x1B7A,29
eSpellDispel,0x1B61,35
MagicSchoolInfo,0x2D31,9
GARDEN_OF_REVELATION,0x2D17,32
rally_flag_sound,0x2D1D,15
eSpellEffectProtectionFromEarth,0x1F15,26
eSpellEffectProtectionFromFire,0x1F15,24
eSpellEffectProtectionFromAir,0x1F15,22
eArtifactSeaCaptainsHat,0x1B5A,123
modeWrite,0x10C2,(LF_LONG) 1073741824
const_wall_of_glyphic_knowledge,0x1C8D,23
const_academy_of_battle_scholars,0x1C8D,23
eSexFemale,0x3DF1,1
eSpellPortal,0x1B61,9
eSpellSorrow,0x1B61,50
eCreatureDragonFly,0x1BAC,105
RANDOM_RESOURCE,0x2D17,76
const_iron_golem_generator,0x1C8D,39
const_wyvern_generator,0x1C8D,35
TERRAIN_SKULL,0x2D17,151
HORDE_2_UPG_ID,0x1C8D,25
DEFENSE_TOWER,0x2D17,23
eCreatureGoblin,0x1BAC,84
eCreatureZealot,0x1BAC,9
eCreatureGnoll,0x1BAC,98
eSpellEffectSorrow,0x1F15,30
cyclops_generator_sound,0x2D1D,7
eTownFortress,0x1AB5,7
RS_PLAYER_DEAD,0x2CCD,1018
eSpellEffectPoison,0x1F15,67
RES_ARTIFACT_W_TEXT,0x1B7A,19
WAR_SCHOOL,0x2D17,107
eHeroJabarkas,0x1D96,98
eSpellEffectAge,0x1F15,71
const_nosferatu_generator,0x1C8D,40
eHeroIgnatius,0x1D96,51
denorm_present,0x1575,1
eArtifactArmorOfWonder,0x1B5A,31
eHeroCoronius,0x1D96,24
const_lesser_titan_generator,0x1C8D,36
const_sea_chest_nothing,0x2FBF,0
SELECT_FIRST_AID,0x40FD,17
centaur_generator_sound,0x2D1D,21
const_battle_dwarf_horde,0x1C8D,19
RS_READY_TO_PLAY,0x2CCD,1012
eSpellQuicksand,0x1B61,10
eSecSkillMysticism,0x1AD8,8
